,Temperature - (Celsius), Year, Statistics
0,23.6508,1991, Jan Average
1,23.9218,1991, Feb Average
2,23.5731,1991, Mar Average
3,21.9495,1991, Apr Average
4,20.8961,1991, May Average
5,18.7806,1991, Jun Average
6,18.1263,1991, Jul Average
7,19.4982,1991, Aug Average
8,22.416,1991, Sep Average
9,24.034000000000002,1991, Oct Average
10,24.2275,1991, Nov Average
11,23.6088,1991, Dec Average
12,23.9316,1992, Jan Average
13,23.9907,1992, Feb Average
14,24.3544,1992, Mar Average
15,23.3957,1992, Apr Average
16,21.7766,1992, May Average
17,19.4934,1992, Jun Average
18,18.2282,1992, Jul Average
19,19.0081,1992, Aug Average
20,22.4878,1992, Sep Average
21,24.3282,1992, Oct Average
22,25.2697,1992, Nov Average
23,24.6972,1992, Dec Average
24,23.3235,1993, Jan Average
25,23.414,1993, Feb Average
26,23.0485,1993, Mar Average
27,23.4034,1993, Apr Average
28,21.455,1993, May Average
29,18.7868,1993, Jun Average
30,18.4602,1993, Jul Average
31,19.0804,1993, Aug Average
32,21.9608,1993, Sep Average
33,24.5438,1993, Oct Average
34,24.6744,1993, Nov Average
35,25.349,1993, Dec Average
36,24.011,1994, Jan Average
37,23.7454,1994, Feb Average
38,23.8532,1994, Mar Average
39,22.6076,1994, Apr Average
40,20.9113,1994, May Average
41,19.0856,1994, Jun Average
42,17.9349,1994, Jul Average
43,19.512,1994, Aug Average
44,22.3493,1994, Sep Average
45,23.393,1994, Oct Average
46,26.0297,1994, Nov Average
47,24.9666,1994, Dec Average
48,23.5551,1995, Jan Average
49,23.8538,1995, Feb Average
50,23.9866,1995, Mar Average
51,22.8077,1995, Apr Average
52,21.3385,1995, May Average
53,18.864,1995, Jun Average
54,18.8378,1995, Jul Average
55,20.7625,1995, Aug Average
56,22.6328,1995, Sep Average
57,25.7261,1995, Oct Average
58,26.1816,1995, Nov Average
59,24.1904,1995, Dec Average
60,23.8538,1996, Jan Average
61,23.2543,1996, Feb Average
62,23.0947,1996, Mar Average
63,21.6372,1996, Apr Average
64,20.8055,1996, May Average
65,18.7185,1996, Jun Average
66,18.0878,1996, Jul Average
67,20.0796,1996, Aug Average
68,22.7315,1996, Sep Average
69,24.4512,1996, Oct Average
70,26.5494,1996, Nov Average
71,24.5584,1996, Dec Average
72,24.005,1997, Jan Average
73,22.9842,1997, Feb Average
74,23.976,1997, Mar Average
75,22.3895,1997, Apr Average
76,20.2291,1997, May Average
77,20.0698,1997, Jun Average
78,18.3489,1997, Jul Average
79,20.235,1997, Aug Average
80,22.6732,1997, Sep Average
81,23.9194,1997, Oct Average
82,25.7338,1997, Nov Average
83,24.1158,1997, Dec Average
84,24.2617,1998, Jan Average
85,24.2212,1998, Feb Average
86,24.6963,1998, Mar Average
87,22.7927,1998, Apr Average
88,21.2923,1998, May Average
89,19.2231,1998, Jun Average
90,18.8204,1998, Jul Average
91,20.0835,1998, Aug Average
92,22.3873,1998, Sep Average
93,24.7634,1998, Oct Average
94,25.9187,1998, Nov Average
95,24.4186,1998, Dec Average
96,23.6788,1999, Jan Average
97,23.6763,1999, Feb Average
98,23.375999999999998,1999, Mar Average
99,22.0328,1999, Apr Average
100,20.5919,1999, May Average
101,19.0889,1999, Jun Average
102,18.1474,1999, Jul Average
103,19.6712,1999, Aug Average
104,21.7894,1999, Sep Average
105,23.4598,1999, Oct Average
106,25.173000000000002,1999, Nov Average
107,25.4544,1999, Dec Average
108,23.9165,2000, Jan Average
109,23.4182,2000, Feb Average
110,23.3848,2000, Mar Average
111,22.5988,2000, Apr Average
112,20.8315,2000, May Average
113,19.3831,2000, Jun Average
